,0,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
149,Fears,MTNS,0.0407,https://api.spotify.com/v1/audio-analysis/4ToYlykhwpW98KtMIGnWQK,0.646,224333.0,0.964,4ToYlykhwpW98KtMIGnWQK,3.65e-06,7.0,0.293,-3.177,1.0,0.0369,95.479,4.0,https://api.spotify.com/v1/tracks/4ToYlykhwpW98KtMIGnWQK,audio_features,spotify:track:4ToYlykhwpW98KtMIGnWQK,0.747
150,Good to Be a Man,Elle King,0.323,https://api.spotify.com/v1/audio-analysis/5Xak5fmy089t0FYmh3VJiY,0.36,342653.0,0.684,5Xak5fmy089t0FYmh3VJiY,0.0,4.0,0.34,-6.457,0.0,0.0308,77.15,4.0,https://api.spotify.com/v1/tracks/5Xak5fmy089t0FYmh3VJiY,audio_features,spotify:track:5Xak5fmy089t0FYmh3VJiY,0.2
151,Run Baby Run,Toro y Moi,0.0404,https://api.spotify.com/v1/audio-analysis/62nQ8UZVqR2RMvkJHkcO2o,0.285,318227.0,0.846,62nQ8UZVqR2RMvkJHkcO2o,0.0,2.0,0.182,-6.472,1.0,0.0438,108.808,4.0,https://api.spotify.com/v1/tracks/62nQ8UZVqR2RMvkJHkcO2o,audio_features,spotify:track:62nQ8UZVqR2RMvkJHkcO2o,0.287
152,Lampshades on Fire,Modest Mouse,0.29,https://api.spotify.com/v1/audio-analysis/3bE5slaVEfaDreqARl6k4M,0.504,303587.0,0.354,3bE5slaVEfaDreqARl6k4M,4.71e-06,4.0,0.157,-11.3,1.0,0.0339,140.87,4.0,https://api.spotify.com/v1/tracks/3bE5slaVEfaDreqARl6k4M,audio_features,spotify:track:3bE5slaVEfaDreqARl6k4M,0.292
153,Float On,Modest Mouse,0.0163,https://api.spotify.com/v1/audio-analysis/2IZZqH4K02UIYg5EohpNHF,0.299,306411.0,0.613,2IZZqH4K02UIYg5EohpNHF,0.00359,7.0,0.368,-9.012,1.0,0.0347,166.96,4.0,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF,audio_features,spotify:track:2IZZqH4K02UIYg5EohpNHF,0.306
154,Dashboard,Modest Mouse,0.000123,https://api.spotify.com/v1/audio-analysis/7HGTkn2aX7MNdKs7nV2xBt,0.5,197160.0,0.975,7HGTkn2aX7MNdKs7nV2xBt,0.000379,10.0,0.104,-3.176,0.0,0.0824,138.005,4.0,https://api.spotify.com/v1/tracks/7HGTkn2aX7MNdKs7nV2xBt,audio_features,spotify:track:7HGTkn2aX7MNdKs7nV2xBt,0.767
155,The World At Large,Modest Mouse,0.00192,https://api.spotify.com/v1/audio-analysis/0kYUrLVQOfx21xuXu7OGrT,0.558,301573.0,0.74,0kYUrLVQOfx21xuXu7OGrT,8.97e-06,6.0,0.129,-6.22,1.0,0.0448,118.293,4.0,https://api.spotify.com/v1/tracks/0kYUrLVQOfx21xuXu7OGrT,audio_features,spotify:track:0kYUrLVQOfx21xuXu7OGrT,0.217
156,Ocean Breathes Salty,Modest Mouse,0.501,https://api.spotify.com/v1/audio-analysis/683b4ikwa62JevCjwrmfg6,0.606,274040.0,0.282,683b4ikwa62JevCjwrmfg6,8.3e-06,9.0,0.152,-12.207,0.0,0.0339,67.409,4.0,https://api.spotify.com/v1/tracks/683b4ikwa62JevCjwrmfg6,audio_features,spotify:track:683b4ikwa62JevCjwrmfg6,0.563
157,Black,Pearl Jam,0.0405,https://api.spotify.com/v1/audio-analysis/25HY5K8d76adh1ZI7orMJv,0.779,264572.0,0.602,25HY5K8d76adh1ZI7orMJv,0.597,10.0,0.115,-7.877,0.0,0.0461,125.033,4.0,https://api.spotify.com/v1/tracks/25HY5K8d76adh1ZI7orMJv,audio_features,spotify:track:25HY5K8d76adh1ZI7orMJv,0.774
158,Jeremy,Pearl Jam,0.0383,https://api.spotify.com/v1/audio-analysis/6ZrlXT6mUMEgomN128iekU,0.642,241640.0,0.808,6ZrlXT6mUMEgomN128iekU,0.00829,0.0,0.547,-6.406,1.0,0.0463,97.565,4.0,https://api.spotify.com/v1/tracks/6ZrlXT6mUMEgomN128iekU,audio_features,spotify:track:6ZrlXT6mUMEgomN128iekU,0.273
159,Yellow Ledbetter,Pearl Jam,0.0564,https://api.spotify.com/v1/audio-analysis/5JtPGzRgrWxkXX9LoROq3d,0.604,193107.0,0.825,5JtPGzRgrWxkXX9LoROq3d,5.8e-05,0.0,0.192,-5.373,1.0,0.0429,144.085,4.0,https://api.spotify.com/v1/tracks/5JtPGzRgrWxkXX9LoROq3d,audio_features,spotify:track:5JtPGzRgrWxkXX9LoROq3d,0.707
160,Zombie,The Cranberries,0.00242,https://api.spotify.com/v1/audio-analysis/4VJW5Aj2hBZx95JVi6AzNN,0.329,244813.0,0.733,4VJW5Aj2hBZx95JVi6AzNN,0.0103,0.0,0.0812,-7.164,1.0,0.0345,137.657,4.0,https://api.spotify.com/v1/tracks/4VJW5Aj2hBZx95JVi6AzNN,audio_features,spotify:track:4VJW5Aj2hBZx95JVi6AzNN,0.317
161,Somebody Told Me,The Killers,0.0133,https://api.spotify.com/v1/audio-analysis/0djnjvuq3Lg71aZ3UK61D3,0.489,228147.0,0.768,0djnjvuq3Lg71aZ3UK61D3,0.015,9.0,0.355,-4.24,0.0,0.0333,113.974,4.0,https://api.spotify.com/v1/tracks/0djnjvuq3Lg71aZ3UK61D3,audio_features,spotify:track:0djnjvuq3Lg71aZ3UK61D3,0.496
162,All These Things That I've Done,The Killers,0.0193,https://api.spotify.com/v1/audio-analysis/6W1zoZPSyT56jDuGmM6b5P,0.647,181173.0,0.826,6W1zoZPSyT56jDuGmM6b5P,0.00568,10.0,0.0913,-4.3,0.0,0.0728,88.495,4.0,https://api.spotify.com/v1/tracks/6W1zoZPSyT56jDuGmM6b5P,audio_features,spotify:track:6W1zoZPSyT56jDuGmM6b5P,0.697
163,Moondance,Van Morrison,0.000387,https://api.spotify.com/v1/audio-analysis/0LtsuNRz3IMRrHCYO9fKRk,0.576,238400.0,0.738,0LtsuNRz3IMRrHCYO9fKRk,0.00131,11.0,0.13,-8.122,1.0,0.0353,168.132,4.0,https://api.spotify.com/v1/tracks/0LtsuNRz3IMRrHCYO9fKRk,audio_features,spotify:track:0LtsuNRz3IMRrHCYO9fKRk,0.675
164,Tangerine Girl,Asher Roth,0.0625,https://api.spotify.com/v1/audio-analysis/0Of5so0SmxQprfv96NkXhb,0.573,171267.0,0.786,0Of5so0SmxQprfv96NkXhb,0.211,7.0,0.117,-4.354,1.0,0.0353,110.289,4.0,https://api.spotify.com/v1/tracks/0Of5so0SmxQprfv96NkXhb,audio_features,spotify:track:0Of5so0SmxQprfv96NkXhb,0.61
165,Lisztomania,Phoenix,0.0823,https://api.spotify.com/v1/audio-analysis/4B7WA4pVf5dRoynzmWcOkj,0.306,212080.0,0.504,4B7WA4pVf5dRoynzmWcOkj,0.267,9.0,0.189,-6.815,1.0,0.0346,182.92,3.0,https://api.spotify.com/v1/tracks/4B7WA4pVf5dRoynzmWcOkj,audio_features,spotify:track:4B7WA4pVf5dRoynzmWcOkj,0.192
166,1901,Phoenix,0.0304,https://api.spotify.com/v1/audio-analysis/1jyddn36UN4tVsJGtaJfem,0.579,231840.0,0.727,1jyddn36UN4tVsJGtaJfem,1.99e-05,10.0,0.172,-4.872,1.0,0.0332,170.593,4.0,https://api.spotify.com/v1/tracks/1jyddn36UN4tVsJGtaJfem,audio_features,spotify:track:1jyddn36UN4tVsJGtaJfem,0.885
167,Chloroform,Phoenix,0.0838,https://api.spotify.com/v1/audio-analysis/5zVW76plgG9B4904OXXXZd,0.564,219823.0,0.682,5zVW76plgG9B4904OXXXZd,0.697,6.0,0.19,-6.46,0.0,0.0289,85.276,4.0,https://api.spotify.com/v1/tracks/5zVW76plgG9B4904OXXXZd,audio_features,spotify:track:5zVW76plgG9B4904OXXXZd,0.302
168,Trying To Be Cool,Phoenix,0.000585,https://api.spotify.com/v1/audio-analysis/4l8knlwTeoTmSnGi45kqZ8,0.515,287533.0,0.871,4l8knlwTeoTmSnGi45kqZ8,0.0,9.0,0.0877,-4.113,1.0,0.0367,119.869,4.0,https://api.spotify.com/v1/tracks/4l8knlwTeoTmSnGi45kqZ8,audio_features,spotify:track:4l8knlwTeoTmSnGi45kqZ8,0.498
169,Trip Switch,Nothing But Thieves,0.605,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,0.669,231173.0,0.389,5oUV6yWdDM0R9Q2CizRhIt,0.16,0.0,0.0905,-11.547,1.0,0.0306,130.015,4.0,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,audio_features,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,0.649
170,Beautiful Disaster,311,0.0232,https://api.spotify.com/v1/audio-analysis/1yMpbmFpPC4Y8qMjtalnXf,0.413,200173.0,0.707,1yMpbmFpPC4Y8qMjtalnXf,2.84e-06,2.0,0.293,-8.65,1.0,0.0375,94.614,4.0,https://api.spotify.com/v1/tracks/1yMpbmFpPC4Y8qMjtalnXf,audio_features,spotify:track:1yMpbmFpPC4Y8qMjtalnXf,0.494
171,Call Me,St. Paul & The Broken Bones,0.0182,https://api.spotify.com/v1/audio-analysis/4dwrL3Z5U2RZ6MZiKE2PgL,0.648,244827.0,0.751,4dwrL3Z5U2RZ6MZiKE2PgL,0.000401,8.0,0.0418,-8.582,1.0,0.0806,100.437,4.0,https://api.spotify.com/v1/tracks/4dwrL3Z5U2RZ6MZiKE2PgL,audio_features,spotify:track:4dwrL3Z5U2RZ6MZiKE2PgL,0.863
172,Dixie Rothko,St. Paul & The Broken Bones,0.0219,https://api.spotify.com/v1/audio-analysis/1yzbqrSF0vuaO7nuKYSd6f,0.534,280040.0,0.955,1yzbqrSF0vuaO7nuKYSd6f,0.00573,7.0,0.322,-4.447,0.0,0.0524,130.09,4.0,https://api.spotify.com/v1/tracks/1yzbqrSF0vuaO7nuKYSd6f,audio_features,spotify:track:1yzbqrSF0vuaO7nuKYSd6f,0.425
173,You Are the Best Thing,Ray LaMontagne,0.0387,https://api.spotify.com/v1/audio-analysis/7c1Dar0pIAW7w5TzaGjt9t,0.426,286987.0,0.65,7c1Dar0pIAW7w5TzaGjt9t,3.76e-06,7.0,0.126,-7.747,1.0,0.0332,82.184,4.0,https://api.spotify.com/v1/tracks/7c1Dar0pIAW7w5TzaGjt9t,audio_features,spotify:track:7c1Dar0pIAW7w5TzaGjt9t,0.493
174,Kiss the Sky,Shawn Lee's Ping Pong Orchestra,0.55,https://api.spotify.com/v1/audio-analysis/1JO1xLtVc8mWhIoE3YaCL0,0.584,176293.0,0.367,1JO1xLtVc8mWhIoE3YaCL0,1.38e-05,6.0,0.0818,-9.638,0.0,0.0328,120.175,4.0,https://api.spotify.com/v1/tracks/1JO1xLtVc8mWhIoE3YaCL0,audio_features,spotify:track:1JO1xLtVc8mWhIoE3YaCL0,0.588
175,Phantom Limb,The Shins,0.218,https://api.spotify.com/v1/audio-analysis/1udKn1oNKYQSQ9OmiIWCMu,0.552,125827.0,0.742,1udKn1oNKYQSQ9OmiIWCMu,0.0,0.0,0.339,-7.963,1.0,0.0454,138.591,4.0,https://api.spotify.com/v1/tracks/1udKn1oNKYQSQ9OmiIWCMu,audio_features,spotify:track:1udKn1oNKYQSQ9OmiIWCMu,0.751
176,New Slang,The Shins,0.0592,https://api.spotify.com/v1/audio-analysis/7AzFID6u1b3zIWbd9pb8Dk,0.423,160307.0,0.681,7AzFID6u1b3zIWbd9pb8Dk,0.000177,10.0,0.0889,-9.756,1.0,0.0397,110.461,4.0,https://api.spotify.com/v1/tracks/7AzFID6u1b3zIWbd9pb8Dk,audio_features,spotify:track:7AzFID6u1b3zIWbd9pb8Dk,0.559
177,Caring Is Creepy,The Shins,0.834,https://api.spotify.com/v1/audio-analysis/3c06k9x6MHHdPQi3ix68yF,0.822,139093.0,0.332,3c06k9x6MHHdPQi3ix68yF,0.0,1.0,0.11,-11.369,1.0,0.0506,110.802,4.0,https://api.spotify.com/v1/tracks/3c06k9x6MHHdPQi3ix68yF,audio_features,spotify:track:3c06k9x6MHHdPQi3ix68yF,0.834
178,Superstition,Stevie Wonder,0.844,https://api.spotify.com/v1/audio-analysis/2cbic3TiUENlJX91y67ARR,0.593,238520.0,0.263,2cbic3TiUENlJX91y67ARR,5.36e-06,4.0,0.127,-14.029,0.0,0.0567,76.379,4.0,https://api.spotify.com/v1/tracks/2cbic3TiUENlJX91y67ARR,audio_features,spotify:track:2cbic3TiUENlJX91y67ARR,0.109
179,Coming of Age,Foster The People,0.691,https://api.spotify.com/v1/audio-analysis/0k6hxzX5C047LD8NXHMckp,0.576,216973.0,0.588,0k6hxzX5C047LD8NXHMckp,0.0412,11.0,0.265,-7.61,0.0,0.0438,149.51,4.0,https://api.spotify.com/v1/tracks/0k6hxzX5C047LD8NXHMckp,audio_features,spotify:track:0k6hxzX5C047LD8NXHMckp,0.291
180,Jane Says,Jane's Addiction,0.0021,https://api.spotify.com/v1/audio-analysis/3jJZVeExYzVYiV6Y9Fl3DX,0.423,310347.0,0.954,3jJZVeExYzVYiV6Y9Fl3DX,0.0,7.0,0.177,-3.157,0.0,0.047,144.553,4.0,https://api.spotify.com/v1/tracks/3jJZVeExYzVYiV6Y9Fl3DX,audio_features,spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,0.5
181,Happy Together,The Turtles,0.0342,https://api.spotify.com/v1/audio-analysis/0LTZD4vTsp0EN1wXatc9IR,0.328,383507.0,0.762,0LTZD4vTsp0EN1wXatc9IR,0.00876,5.0,0.198,-8.651,1.0,0.0476,125.75,4.0,https://api.spotify.com/v1/tracks/0LTZD4vTsp0EN1wXatc9IR,audio_features,spotify:track:0LTZD4vTsp0EN1wXatc9IR,0.274
182,Do You Believe in Magic?,The Lovin' Spoonful,0.000456,https://api.spotify.com/v1/audio-analysis/4qvMZBtrZxZlUl9nPR2p0y,0.709,182933.0,0.439,4qvMZBtrZxZlUl9nPR2p0y,0.0136,7.0,0.125,-9.931,1.0,0.0422,94.148,4.0,https://api.spotify.com/v1/tracks/4qvMZBtrZxZlUl9nPR2p0y,audio_features,spotify:track:4qvMZBtrZxZlUl9nPR2p0y,0.459
183,Summer in the City - Remastered,The Lovin' Spoonful,0.188,https://api.spotify.com/v1/audio-analysis/3H0RNo34qa7mXkJMyl4y88,0.542,234218.0,0.521,3H0RNo34qa7mXkJMyl4y88,0.00563,10.0,0.111,-7.029,0.0,0.0386,142.018,4.0,https://api.spotify.com/v1/tracks/3H0RNo34qa7mXkJMyl4y88,audio_features,spotify:track:3H0RNo34qa7mXkJMyl4y88,0.258
184,Daydream,The Lovin' Spoonful,0.00136,https://api.spotify.com/v1/audio-analysis/7oXRMDUzBPekkLRTJhSGvC,0.516,235587.0,0.781,7oXRMDUzBPekkLRTJhSGvC,0.000735,8.0,0.11,-4.004,0.0,0.0364,116.793,4.0,https://api.spotify.com/v1/tracks/7oXRMDUzBPekkLRTJhSGvC,audio_features,spotify:track:7oXRMDUzBPekkLRTJhSGvC,0.897
185,Skinny Love,Bon Iver,0.0546,https://api.spotify.com/v1/audio-analysis/1Dhi8OBMSyukjUQ93uBfNz,0.587,291400.0,0.874,1Dhi8OBMSyukjUQ93uBfNz,0.000452,2.0,0.0511,-3.597,1.0,0.0544,95.017,4.0,https://api.spotify.com/v1/tracks/1Dhi8OBMSyukjUQ93uBfNz,audio_features,spotify:track:1Dhi8OBMSyukjUQ93uBfNz,0.469
186,Come On and Move Me,Monarchs,0.000531,https://api.spotify.com/v1/audio-analysis/1Pc3gTtQG4Cq1x81NcXtCN,0.187,235400.0,0.855,1Pc3gTtQG4Cq1x81NcXtCN,0.0204,11.0,0.361,-4.316,0.0,0.0624,160.9,3.0,https://api.spotify.com/v1/tracks/1Pc3gTtQG4Cq1x81NcXtCN,audio_features,spotify:track:1Pc3gTtQG4Cq1x81NcXtCN,0.257
187,Plush,Stone Temple Pilots,0.0359,https://api.spotify.com/v1/audio-analysis/6NvRxjfYkkT2SpirAlmsjH,0.507,278707.0,0.588,6NvRxjfYkkT2SpirAlmsjH,0.000129,0.0,0.373,-4.881,1.0,0.0641,170.889,4.0,https://api.spotify.com/v1/tracks/6NvRxjfYkkT2SpirAlmsjH,audio_features,spotify:track:6NvRxjfYkkT2SpirAlmsjH,0.637
188,Paranoid Android,Radiohead,0.000773,https://api.spotify.com/v1/audio-analysis/1sddd7RjfvTBG3Kv9xSAKF,0.265,353240.0,0.915,1sddd7RjfvTBG3Kv9xSAKF,0.0867,1.0,0.349,-5.294,1.0,0.183,144.828,4.0,https://api.spotify.com/v1/tracks/1sddd7RjfvTBG3Kv9xSAKF,audio_features,spotify:track:1sddd7RjfvTBG3Kv9xSAKF,0.281
189,40 Oz. To Freedom,Sublime,0.172,https://api.spotify.com/v1/audio-analysis/4KGdFDc2InqRHYCZt4svYc,0.422,230707.0,0.602,4KGdFDc2InqRHYCZt4svYc,0.0189,1.0,0.472,-6.938,0.0,0.0341,166.215,4.0,https://api.spotify.com/v1/tracks/4KGdFDc2InqRHYCZt4svYc,audio_features,spotify:track:4KGdFDc2InqRHYCZt4svYc,0.532
190,Graveyard Whistling,Nothing But Thieves,0.192,https://api.spotify.com/v1/audio-analysis/3DjS3YvziBLYInH4yx4ZgS,0.611,244267.0,0.843,3DjS3YvziBLYInH4yx4ZgS,0.00011,9.0,0.101,-4.65,0.0,0.0771,121.009,4.0,https://api.spotify.com/v1/tracks/3DjS3YvziBLYInH4yx4ZgS,audio_features,spotify:track:3DjS3YvziBLYInH4yx4ZgS,0.557
191,I Sat By The Ocean,Queens of the Stone Age,0.112,https://api.spotify.com/v1/audio-analysis/7lj6UtoorYeYsfMO6XbCrf,0.56,339867.0,0.993,7lj6UtoorYeYsfMO6XbCrf,0.115,2.0,0.363,-3.799,1.0,0.0538,139.432,4.0,https://api.spotify.com/v1/tracks/7lj6UtoorYeYsfMO6XbCrf,audio_features,spotify:track:7lj6UtoorYeYsfMO6XbCrf,0.53
192,Smooth Sailing,Queens of the Stone Age,0.425,https://api.spotify.com/v1/audio-analysis/0Cgd3CK6D2hhbwmLRvtscH,0.705,290493.0,0.811,0Cgd3CK6D2hhbwmLRvtscH,6.15e-05,9.0,0.126,-5.201,1.0,0.0285,91.974,4.0,https://api.spotify.com/v1/tracks/0Cgd3CK6D2hhbwmLRvtscH,audio_features,spotify:track:0Cgd3CK6D2hhbwmLRvtscH,0.519
193,My God Is The Sun,Queens of the Stone Age,0.117,https://api.spotify.com/v1/audio-analysis/63wsuMhok6GgcBRd2strGk,0.444,214067.0,0.989,63wsuMhok6GgcBRd2strGk,0.0445,1.0,0.347,-3.746,1.0,0.112,131.327,4.0,https://api.spotify.com/v1/tracks/63wsuMhok6GgcBRd2strGk,audio_features,spotify:track:63wsuMhok6GgcBRd2strGk,0.466
194,No One Knows,Queens of the Stone Age,0.449,https://api.spotify.com/v1/audio-analysis/4rX2X3Mvh8fBFQwFSGxva1,0.442,222333.0,0.935,4rX2X3Mvh8fBFQwFSGxva1,0.322,11.0,0.0728,-4.734,0.0,0.0367,101.493,4.0,https://api.spotify.com/v1/tracks/4rX2X3Mvh8fBFQwFSGxva1,audio_features,spotify:track:4rX2X3Mvh8fBFQwFSGxva1,0.622
195,Born To Hula - Non-LP Version,Queens of the Stone Age,0.0624,https://api.spotify.com/v1/audio-analysis/1D6eNTsC5ixYBTzBxBx0gL,0.363,253493.0,0.886,1D6eNTsC5ixYBTzBxBx0gL,0.000144,8.0,0.323,-4.303,1.0,0.0972,128.413,4.0,https://api.spotify.com/v1/tracks/1D6eNTsC5ixYBTzBxBx0gL,audio_features,spotify:track:1D6eNTsC5ixYBTzBxBx0gL,0.57
196,In The Fade,Queens of the Stone Age,0.0129,https://api.spotify.com/v1/audio-analysis/0jGTmdloNXK6OKOtxCkT3p,0.48,241200.0,0.923,0jGTmdloNXK6OKOtxCkT3p,6.28e-05,9.0,0.117,-4.062,1.0,0.0382,134.304,4.0,https://api.spotify.com/v1/tracks/0jGTmdloNXK6OKOtxCkT3p,audio_features,spotify:track:0jGTmdloNXK6OKOtxCkT3p,0.434
197,I'm Designer,Queens of the Stone Age,0.0118,https://api.spotify.com/v1/audio-analysis/0BqQWfhMrkpRAUCbdfdHUC,0.359,174027.0,0.956,0BqQWfhMrkpRAUCbdfdHUC,0.000822,1.0,0.511,-2.942,1.0,0.062,161.132,4.0,https://api.spotify.com/v1/tracks/0BqQWfhMrkpRAUCbdfdHUC,audio_features,spotify:track:0BqQWfhMrkpRAUCbdfdHUC,0.924
198,Misfit Love,Queens of the Stone Age,0.0582,https://api.spotify.com/v1/audio-analysis/5y1Few8WyakfoyMvKYZigw,0.578,288467.0,0.519,5y1Few8WyakfoyMvKYZigw,0.178,2.0,0.0777,-7.79,1.0,0.027,115.431,4.0,https://api.spotify.com/v1/tracks/5y1Few8WyakfoyMvKYZigw,audio_features,spotify:track:5y1Few8WyakfoyMvKYZigw,0.557
199,Make It Wit Chu,Queens of the Stone Age,0.238,https://api.spotify.com/v1/audio-analysis/1pEev1B0bnZnuqg4loDsa8,0.529,182173.0,0.975,1pEev1B0bnZnuqg4loDsa8,0.278,2.0,0.0734,-2.442,1.0,0.121,131.94,4.0,https://api.spotify.com/v1/tracks/1pEev1B0bnZnuqg4loDsa8,audio_features,spotify:track:1pEev1B0bnZnuqg4loDsa8,0.454
200,3's & 7's,Queens of the Stone Age,0.17,https://api.spotify.com/v1/audio-analysis/6USIjndxQ77bFLqwZB2iam,0.31,413907.0,0.766,6USIjndxQ77bFLqwZB2iam,0.0868,9.0,0.101,-5.991,1.0,0.0378,109.109,4.0,https://api.spotify.com/v1/tracks/6USIjndxQ77bFLqwZB2iam,audio_features,spotify:track:6USIjndxQ77bFLqwZB2iam,0.122
201,Into The Hollow,Queens of the Stone Age,0.0279,https://api.spotify.com/v1/audio-analysis/2pRfsbpR74OUiURrpguM5Q,0.539,193693.0,0.867,2pRfsbpR74OUiURrpguM5Q,0.0136,0.0,0.17,-6.829,0.0,0.126,79.962,4.0,https://api.spotify.com/v1/tracks/2pRfsbpR74OUiURrpguM5Q,audio_features,spotify:track:2pRfsbpR74OUiURrpguM5Q,0.616
202,Tangled Up In Plaid,Queens of the Stone Age,0.0251,https://api.spotify.com/v1/audio-analysis/4z5Hr0KYHJJJER5f51LsO1,0.441,198413.0,0.96,4z5Hr0KYHJJJER5f51LsO1,0.0542,6.0,0.184,-3.976,1.0,0.0985,107.357,4.0,https://api.spotify.com/v1/tracks/4z5Hr0KYHJJJER5f51LsO1,audio_features,spotify:track:4z5Hr0KYHJJJER5f51LsO1,0.41
203,In My Head,Queens of the Stone Age,0.0959,https://api.spotify.com/v1/audio-analysis/0LQCF8796RT9dbHqjU5jb2,0.3,375893.0,0.764,0LQCF8796RT9dbHqjU5jb2,0.000294,10.0,0.723,-4.358,0.0,0.133,169.242,3.0,https://api.spotify.com/v1/tracks/0LQCF8796RT9dbHqjU5jb2,audio_features,spotify:track:0LQCF8796RT9dbHqjU5jb2,0.374
204,Little Sister,Queens of the Stone Age,0.0163,https://api.spotify.com/v1/audio-analysis/10UVEdUnZaCRGr5vFuWBBr,0.264,187107.0,0.988,10UVEdUnZaCRGr5vFuWBBr,0.0578,4.0,0.816,-3.757,0.0,0.0956,159.346,4.0,https://api.spotify.com/v1/tracks/10UVEdUnZaCRGr5vFuWBBr,audio_features,spotify:track:10UVEdUnZaCRGr5vFuWBBr,0.435
205,I Never Came,Queens of the Stone Age,0.472,https://api.spotify.com/v1/audio-analysis/5yyQaf86ffFOjTu5p0oDzb,0.415,244440.0,0.807,5yyQaf86ffFOjTu5p0oDzb,0.000933,5.0,0.507,-5.572,1.0,0.404,132.432,4.0,https://api.spotify.com/v1/tracks/5yyQaf86ffFOjTu5p0oDzb,audio_features,spotify:track:5yyQaf86ffFOjTu5p0oDzb,0.359
206,Broken Box,Queens of the Stone Age,0.851,https://api.spotify.com/v1/audio-analysis/4gES7sh9RUGu3QBOLU76GA,0.492,338507.0,0.4,4gES7sh9RUGu3QBOLU76GA,0.0788,0.0,0.262,-9.357,0.0,0.0261,98.576,4.0,https://api.spotify.com/v1/tracks/4gES7sh9RUGu3QBOLU76GA,audio_features,spotify:track:4gES7sh9RUGu3QBOLU76GA,0.276
207,Long Slow Goodbye,Queens of the Stone Age,0.0756,https://api.spotify.com/v1/audio-analysis/1Axsq56WOvnwbPYby782I1,0.606,202680.0,0.896,1Axsq56WOvnwbPYby782I1,0.211,5.0,0.0661,-4.48,0.0,0.0299,126.064,4.0,https://api.spotify.com/v1/tracks/1Axsq56WOvnwbPYby782I1,audio_features,spotify:track:1Axsq56WOvnwbPYby782I1,0.935
208,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",Queens of the Stone Age,0.0295,https://api.spotify.com/v1/audio-analysis/0ONwoMd0BydVL6CwNTdcKC,0.497,258480.0,0.729,0ONwoMd0BydVL6CwNTdcKC,0.0501,3.0,0.0936,-6.536,0.0,0.0307,112.334,4.0,https://api.spotify.com/v1/tracks/0ONwoMd0BydVL6CwNTdcKC,audio_features,spotify:track:0ONwoMd0BydVL6CwNTdcKC,0.505
209,First It Giveth,Queens of the Stone Age,0.00413,https://api.spotify.com/v1/audio-analysis/5tCW1MdKabap8iZ1qwdvsq,0.437,295640.0,0.9,5tCW1MdKabap8iZ1qwdvsq,0.065,5.0,0.0788,-4.691,0.0,0.0313,109.642,4.0,https://api.spotify.com/v1/tracks/5tCW1MdKabap8iZ1qwdvsq,audio_features,spotify:track:5tCW1MdKabap8iZ1qwdvsq,0.447
210,The Sky Is Fallin',Queens of the Stone Age,0.0213,https://api.spotify.com/v1/audio-analysis/53MIGNipH1fb4NXSiDHjZ4,0.304,396747.0,0.768,53MIGNipH1fb4NXSiDHjZ4,0.889,10.0,0.139,-6.123,1.0,0.0413,170.316,4.0,https://api.spotify.com/v1/tracks/53MIGNipH1fb4NXSiDHjZ4,audio_features,spotify:track:53MIGNipH1fb4NXSiDHjZ4,0.524
211,Go With The Flow,Queens of the Stone Age,0.0041,https://api.spotify.com/v1/audio-analysis/6c5zXGG8Zbh3KZjE6Fd3UN,0.632,202693.0,0.566,6c5zXGG8Zbh3KZjE6Fd3UN,0.0111,7.0,0.0886,-5.711,0.0,0.0451,110.891,4.0,https://api.spotify.com/v1/tracks/6c5zXGG8Zbh3KZjE6Fd3UN,audio_features,spotify:track:6c5zXGG8Zbh3KZjE6Fd3UN,0.543
212,Do It Again,Queens of the Stone Age,0.0876,https://api.spotify.com/v1/audio-analysis/4EaO2XR7gWaHq8DW7nu1iY,0.472,232747.0,0.881,4EaO2XR7gWaHq8DW7nu1iY,0.0,2.0,0.0698,-5.252,1.0,0.0524,178.858,4.0,https://api.spotify.com/v1/tracks/4EaO2XR7gWaHq8DW7nu1iY,audio_features,spotify:track:4EaO2XR7gWaHq8DW7nu1iY,0.502
213,Mosquito Song,Queens of the Stone Age,0.0212,https://api.spotify.com/v1/audio-analysis/2jZgzSxNSg1hTCq0ewWHGJ,0.604,187253.0,0.894,2jZgzSxNSg1hTCq0ewWHGJ,0.0,2.0,0.0299,-5.0,1.0,0.037,145.014,4.0,https://api.spotify.com/v1/tracks/2jZgzSxNSg1hTCq0ewWHGJ,audio_features,spotify:track:2jZgzSxNSg1hTCq0ewWHGJ,0.901
